Product code;Language;Product id;Category;Price;Weight;Quantity;Zero price action;Product name;Description;Taxes;Status
702-16-71150;ru;702-16-71150;Komatsu;502.16;0,004;40;R;702-16-71150 сокнрмемхе пегхмю/лерюкк, ;702-16-71150 сокнрмемхе пегхмю/лерюкк, ;VAT;A
702-16-71160;ru;702-16-71160;Komatsu;1068;0,002;10;R;702-16-71160 гюыхрю, ;702-16-71160 гюыхрю, ;VAT;A
702-16-71290;ru;702-16-71290;Komatsu;633.61;0,005;1;R;702-16-71290 йнкэжебне сокнрмемхе, ;702-16-71290 йнкэжебне сокнрмемхе, ;VAT;A
702-21-07610;ru;702-21-07610;Komatsu;45389.66;0,57;5;R;702-21-07610 янкемнхдмши йкюоюм, ;702-21-07610 янкемнхдмши йкюоюм, ;VAT;A
702-21-39450;ru;702-21-39450;Komatsu;420.01;0,005;4;R;702-21-39450 н-йнкэжн, ;702-21-39450 н-йнкэжн, ;VAT;A
702-21-53120;ru;702-21-53120;Komatsu;4755.65;0,01;14;R;702-21-53120 яерйю ярюкэмюъ, ;702-21-53120 яерйю ярюкэмюъ, ;VAT;A
702-21-55420;ru;702-21-55420;Komatsu;139.66;0,001;4;R;702-21-55420 сокнрмхрекэмюъ опнйкюдйю, ;702-21-55420 сокнрмхрекэмюъ опнйкюдйю, ;VAT;A
702-21-55440;ru;702-21-55440;Komatsu;89.34;0,001;3;R;702-21-55440 сокнрмемхе пегхмнбне, ;702-21-55440 сокнрмемхе пегхмнбне, ;VAT;A
702-21-55520;ru;702-21-55520;Komatsu;79.08;0,001;5;R;702-21-55520 сокнрмхрекэмюъ опнйкюдйю, ;702-21-55520 сокнрмхрекэмюъ опнйкюдйю, ;VAT;A
702-21-55640;ru;702-21-55640;Komatsu;4770.02;0,001;1;R;702-21-55640 опсфхмю, ;702-21-55640 опсфхмю, ;VAT;A
702-21-56530;ru;702-21-56530;Komatsu;511.97;0,001;2;R;702-21-56530 йнкэжн, ;702-21-56530 йнкэжн, ;VAT;A
702-21-57500;ru;702-21-57500;Komatsu;28486.63;0,42;2;R;702-21-57500 йкюоюм пецскхпнбйх дюбкемхъ , ;702-21-57500 йкюоюм пецскхпнбйх дюбкемхъ , ;VAT;A
702-21-57600;ru;702-21-57600;Komatsu;28486.63;0,42;4;R;702-21-57600 йкюоюм пецскхпнбйх дюбкемхъ цхдпюбкхвеяйни яхярелш, ;702-21-57600 йкюоюм пецскхпнбйх дюбкемхъ цхдпюбкхвеяйни яхярелш, ;VAT;A
702-21-58500;ru;702-21-58500;Komatsu;40316.7;0,42;1;R;702-21-58500 йкюоюм пецскхпнбйх дюбкемхъ, ;702-21-58500 йкюоюм пецскхпнбйх дюбкемхъ, ;VAT;A
702-75-11530;ru;702-75-11530;Komatsu;446.7;0,001;4;R;702-75-11530 йнкэжн, ;702-75-11530 йнкэжн, ;VAT;A
702-75-11830;ru;702-75-11830;Komatsu;744.51;0,002;2;R;702-75-11830 сокнрмхрекэмне йнкэжн, ;702-75-11830 сокнрмхрекэмне йнкэжн, ;VAT;A
702-75-11850;ru;702-75-11850;Komatsu;896.49;0,002;2;R;702-75-11850 сокнрмхрекэмне йнкэжн, ;702-75-11850 сокнрмхрекэмне йнкэжн, ;VAT;A
704-28-02751;ru;704-28-02751;Komatsu;5440.07;0,03;32;R;704-28-02751 тхкэрп, ;704-28-02751 тхкэрп, ;VAT;A
705-11-38010;ru;705-11-38010;Komatsu;214830.67;12,2;4;R;705-11-38010 мюяня цхдпюбкхвеяйхи назелмши ьеярепеммши, ;705-11-38010 мюяня цхдпюбкхвеяйхи назелмши ьеярепеммши, ;VAT;A
705-17-02830;ru;705-17-02830;Komatsu;889.77;0,012;3;R;705-17-02830 люякнсок. опнйкюдйю, ;705-17-02830 люякнсок. опнйкюдйю, ;VAT;A
705-17-03811;ru;705-17-03811;Komatsu;1340.12;0,026;1;R;705-17-03811 сокнрмемхе, ;705-17-03811 сокнрмемхе, ;VAT;A
705-17-04382;ru;705-17-04382;Komatsu;1346.29;0,01;2;R;705-17-04382 н-йнкэжн, ;705-17-04382 н-йнкэжн, ;VAT;A
705-17-04441;ru;705-17-04441;Komatsu;1160.42;0,003;2;R;705-17-04441 йнкэжн, ;705-17-04441 йнкэжн, ;VAT;A
705-17-04471;ru;705-17-04471;Komatsu;1252.84;0,004;2;R;705-17-04471 сокнрмемхе, ;705-17-04471 сокнрмемхе, ;VAT;A
