Product code;Language;Product id;Category;List price;Price;Weight;Quantity;Min quantity;Shipping freight;Date added;Downloadable;Files;Ship downloadable;Inventory tracking;Free shipping;Zero price action;Thumbnail;Detailed image;Product name;Description;Meta keywords;Meta description;Search words;Page title;Taxes;Features;Options;Secondary categories;SEO name;Short description;Status;Popularity;Product URL;Max quantity;Quantity step;List qty count;Out of stock actions;Promo text;Image URL;Detailed image URL;Items in box;Box size;Usergroup IDs;Available since;Options type;Exceptions type;Vendor;Variation group code;Variation group id;Variation parent product id;Variation sub group id;Variation set as default;Цвет (Variation feature);Размер (Variation feature);Discussion
"04071-00210";"ru";"4176";"Komatsu";"0.00";"3184.46";"0.000";"4";"0";"0.00";"24 Sep 2019 12:35:37";"N";"";"N";"B";"N";"R";"";"";"04071-00210 СТОПОРНОЕ КОЛЬЦО";"04071-00210 СТОПОРНОЕ КОЛЬЦО, ";"";"";"";"";"VAT";"";"";"";"04071-00210-yarnonpmne-ynkezhn";"";"A";"24";"https://service.parts/komatsu/04071-00210-yarnonpmne-ynkezhn/";"0";"0";"0";"N";"";"";"";"min:0;max:0";"length:0;width:0;height:0";"0";"";"P";"F";"КОМЕК МАШИНЕРИ";"";"";"";"";"";"";"";"D"
"04071-00240";"ru";"4177";"Komatsu";"0.00";"4012.16";"0.000";"3";"0";"0.00";"24 Sep 2019 12:35:37";"N";"";"N";"B";"N";"R";"";"";"04071-00240 ШАЙБЫ ПРУЖИНЯЩИЕ БЕЗ РЕЗЬБЫ";"04071-00240 ШАЙБЫ ПРУЖИНЯЩИЕ БЕЗ РЕЗЬБЫ, ";"";"";"";"";"VAT";"";"";"";"04071-00240-yuiash-opsfhmyhe-aeg-pegeash";"";"A";"3";"https://service.parts/komatsu/04071-00240-yuiash-opsfhmyhe-aeg-pegeash/";"0";"0";"0";"N";"";"";"";"min:0;max:0";"length:0;width:0;height:0";"0";"";"P";"F";"КОМЕК МАШИНЕРИ";"";"";"";"";"";"";"";"D"
"04077-00090";"ru";"4178";"Komatsu";"0.00";"1516.77";"0.000";"3";"0";"0.00";"24 Sep 2019 12:35:37";"N";"";"N";"B";"N";"R";"";"";"04077-00090 СТОПОРНОЕ КОЛЬЦО";"04077-00090 СТОПОРНОЕ КОЛЬЦО, ";"";"";"";"";"VAT";"";"";"";"04077-00090-yarnonpmne-ynkezhn";"";"A";"57";"https://service.parts/komatsu/04077-00090-yarnonpmne-ynkezhn/";"0";"0";"0";"N";"";"";"";"min:0;max:0";"length:0;width:0;height:0";"0";"";"P";"F";"КОМЕК МАШИНЕРИ";"";"";"";"";"";"";"";"D"
"04080-07015";"ru";"4179";"Komatsu";"0.00";"3603.45";"0.000";"1";"0";"0.00";"24 Sep 2019 12:35:37";"N";"";"N";"B";"N";"R";"";"";"04080-07015 ДЕРЖАТЕЛЬ";"04080-07015 ДЕРЖАТЕЛЬ, ";"";"";"";"";"VAT";"";"";"";"04080-07015-depfyureke";"";"A";"57";"https://service.parts/komatsu/04080-07015-depfyureke/";"0";"0";"0";"N";"";"";"";"min:0;max:0";"length:0;width:0;height:0";"0";"";"P";"F";"КОМЕК МАШИНЕРИ";"";"";"";"";"";"";"";"D"
"04082-00206";"ru";"4180";"Komatsu";"0.00";"640.79";"0.000";"2";"0";"0.00";"24 Sep 2019 12:35:37";"N";"";"N";"B";"N";"R";"";"";"04082-00206 ФИКСАТОР";"04082-00206 ФИКСАТОР, ";"";"";"";"";"VAT";"";"";"";"04082-00206-thyyayurnp";"";"A";"33";"https://service.parts/komatsu/04082-00206-thyyayurnp/";"0";"0";"0";"N";"";"";"";"min:0;max:0";"length:0;width:0;height:0";"0";"";"P";"F";"КОМЕК МАШИНЕРИ";"";"";"";"";"";"";"";"D"
"04120-21738";"ru";"4181";"Komatsu";"0.00";"1433.00";"0.000";"3";"0";"0.00";"24 Sep 2019 12:35:37";"N";"";"N";"B";"N";"R";"";"";"04120-21738 РЕМЕНЬ";"04120-21738 РЕМЕНЬ, ";"";"";"";"";"VAT";"";"";"";"04120-21738-peleme";"";"A";"60";"https://service.parts/komatsu/04120-21738-peleme/";"0";"0";"0";"N";"";"";"";"min:0;max:0";"length:0;width:0;height:0";"0";"";"P";"F";"КОМЕК МАШИНЕРИ";"";"";"";"";"";"";"";"D"
"04120-21754";"ru";"4182";"Komatsu";"0.00";"1723.40";"0.000";"2";"0";"0.00";"24 Sep 2019 12:35:37";"N";"";"N";"B";"N";"R";"";"";"04120-21754 РЕМЕНЬ ПРИВОДНОЙ";"04120-21754 РЕМЕНЬ ПРИВОДНОЙ, ";"";"";"";"";"VAT";"";"";"";"04120-21754-peleme-ophbndmni";"";"A";"36";"https://service.parts/komatsu/04120-21754-peleme-ophbndmni/";"0";"0";"0";"N";"";"";"";"min:0;max:0";"length:0;width:0;height:0";"0";"";"P";"F";"КОМЕК МАШИНЕРИ";"";"";"";"";"";"";"";"D"
"04120-21755";"ru";"4183";"Komatsu";"0.00";"1789.83";"0.000";"3";"0";"0.00";"24 Sep 2019 12:35:37";"N";"";"N";"B";"N";"R";"";"";"04120-21755 РЕМЕНЬ ПРИВОДНОЙ";"04120-21755 РЕМЕНЬ ПРИВОДНОЙ, ";"";"";"";"";"VAT";"";"";"";"04120-21755-peleme-ophbndmni";"";"A";"33";"https://service.parts/komatsu/04120-21755-peleme-ophbndmni/";"0";"0";"0";"N";"";"";"";"min:0;max:0";"length:0;width:0;height:0";"0";"";"P";"F";"КОМЕК МАШИНЕРИ";"";"";"";"";"";"";"";"D"
"04120-21760";"ru";"4184";"Komatsu";"0.00";"3670.19";"0.000";"3";"0";"0.00";"24 Sep 2019 12:35:37";"N";"";"N";"B";"N";"R";"";"";"04120-21760 РЕМЕНЬ КЛИНОВОЙ ПРИВОДНОЙ 62СМ";"04120-21760 РЕМЕНЬ КЛИНОВОЙ ПРИВОДНОЙ 62СМ, ";"";"";"";"";"VAT";"";"";"";"04120-21760-peleme-ykhmnbni-ophbndmni-62yal";"";"A";"33";"https://service.parts/komatsu/04120-21760-peleme-ykhmnbni-ophbndmni-62yal/";"0";"0";"0";"N";"";"";"";"min:0;max:0";"length:0;width:0;height:0";"0";"";"P";"F";"КОМЕК МАШИНЕРИ";"";"";"";"";"";"";"";"D"
"04120-21951";"ru";"4185";"Komatsu";"0.00";"3299.47";"0.000";"9";"0";"0.00";"24 Sep 2019 12:35:37";"N";"";"N";"B";"N";"R";"";"";"04120-21951 РЕМЕНЬ ПРИВОДНОЙ";"04120-21951 РЕМЕНЬ ПРИВОДНОЙ, ";"";"";"";"";"VAT";"";"";"";"04120-21951-peleme-ophbndmni";"";"A";"33";"https://service.parts/komatsu/04120-21951-peleme-ophbndmni/";"0";"0";"0";"N";"";"";"";"min:0;max:0";"length:0;width:0;height:0";"0";"";"P";"F";"КОМЕК МАШИНЕРИ";"";"";"";"";"";"";"";"D"
