Product code;Language;Product id;Category;List price;Price;Weight;Quantity;Min quantity;Shipping freight;Date added;Downloadable;Files;Ship downloadable;Inventory tracking;Free shipping;Zero price action;Thumbnail;Detailed image;Product name;Description;Meta keywords;Meta description;Search words;Page title;Taxes;Features;Options;Secondary categories;SEO name;Short description;Status;Popularity;Vendor
"42N-6C-13330";"ru";"6165";"Все///Komatsu";"0.00";"15977.44";"0.000";"3";"0";"0.00";"24 Sep 2019 12:35:37";"N";"";"N";"B";"N";"R";"";"";"42N-6C-13330 НАБОР ПРОКЛАДОК, ";"42N-6C-13330 НАБОР ПРОКЛАДОК, ";"";"";"";"";"VAT";"(Основные характеристики) Бренд: S[Komatsu]; (Основные характеристики) Страна производитель: S[Япония]; (Основные характеристики) Производитель: S[Komatsu Ltd]";"";"";"42n-6c-13330-myuanp-opnykyudny";"";"A";"";"КОМЕК МАШИНЕРИ"
"42N-70-11242";"ru";"6166";"Все///Komatsu";"0.00";"4559.02";"3.000";"5";"0";"0.00";"24 Sep 2019 12:35:37";"N";"";"N";"B";"N";"R";"";"";"42N-70-11242 ПАЛЕЦ, ";"42N-70-11242 ПАЛЕЦ, ";"";"";"";"";"VAT";"(Основные характеристики) Бренд: S[Komatsu]; (Основные характеристики) Страна производитель: S[Япония]; (Основные характеристики) Производитель: S[Komatsu Ltd]";"";"";"42n-70-11242-oyukezh";"";"A";"";"КОМЕК МАШИНЕРИ"
"42N-70-11681";"ru";"6167";"Все///Komatsu";"0.00";"5623.80";"2.000";"5";"0";"0.00";"24 Sep 2019 12:35:37";"N";"";"N";"B";"N";"R";"";"";"42N-70-11681 ШТИФТ, ";"42N-70-11681 ШТИФТ, ";"";"";"";"";"VAT";"(Основные характеристики) Бренд: S[Komatsu]; (Основные характеристики) Страна производитель: S[Япония]; (Основные характеристики) Производитель: S[Komatsu Ltd]";"";"";"42n-70-11681-rhtr";"";"A";"";"КОМЕК МАШИНЕРИ"
"42N-70-11760";"ru";"6168";"Все///Komatsu";"0.00";"468.81";"0.000";"2";"0";"0.00";"24 Sep 2019 12:35:37";"N";"";"N";"B";"N";"R";"";"exim/backup/images/шаба_два_ba72-gs.png#{[da]:;[de]:;[el]:;[en]:;[es]:;[fr]:;[it]:;[nl]:;[no]:;[ro]:;[ru]:;}";"42N-70-11760 ШАЙБА";"42N-70-11760 ШАЙБА, ";"";"";"";"";"VAT";"(Основные характеристики) Бренд: S[Komatsu]; (Основные характеристики) Страна производитель: S[Япония]; (Основные характеристики) Производитель: S[Komatsu Ltd]";"";"";"42n-70-11760-yuiayu";"";"A";"";"КОМЕК МАШИНЕРИ"
"42N-70-11820";"ru";"6169";"Все///Komatsu";"0.00";"297.99";"0.000";"1";"0";"0.00";"24 Sep 2019 12:35:37";"N";"";"N";"B";"N";"R";"";"";"42N-70-11820 РЕГУЛИРОВОЧНЫЙ ВКЛАДЫШ, ";"42N-70-11820 РЕГУЛИРОВОЧНЫЙ ВКЛАДЫШ, ";"";"";"";"";"VAT";"(Основные характеристики) Бренд: S[Komatsu]; (Основные характеристики) Страна производитель: S[Япония]; (Основные характеристики) Производитель: S[Komatsu Ltd]";"";"";"42n-70-11820-pecskhpnbnvmshi-bykyudsh";"";"A";"";"КОМЕК МАШИНЕРИ"
"42N-812-1230";"ru";"6170";"Все///Komatsu";"0.00";"4135.77";"6.000";"8";"0";"0.00";"24 Sep 2019 12:35:37";"N";"";"N";"B";"N";"R";"";"";"42N-812-1230 ЗУБ КОВША, ";"42N-812-1230 ЗУБ КОВША, ";"";"";"";"";"VAT";"(Основные характеристики) Бренд: S[Komatsu]; (Основные характеристики) Страна производитель: S[Япония]; (Основные характеристики) Производитель: S[Komatsu Ltd]";"";"";"42n-812-1230-gsa-ynbyu";"";"A";"";"КОМЕК МАШИНЕРИ"
"42N-833-1370";"ru";"6171";"Все///Komatsu";"0.00";"5988.22";"3.000";"7";"0";"0.00";"24 Sep 2019 12:35:37";"N";"";"N";"B";"N";"R";"";"";"42N-833-1370 ШТИФТ, ";"42N-833-1370 ШТИФТ, ";"";"";"";"";"VAT";"(Основные характеристики) Бренд: S[Komatsu]; (Основные характеристики) Страна производитель: S[Япония]; (Основные характеристики) Производитель: S[Komatsu Ltd]";"";"";"42n-833-1370-rhtr";"";"A";"";"КОМЕК МАШИНЕРИ"
"42N-833-1390";"ru";"6172";"Все///Komatsu";"0.00";"2736.94";"3.000";"9";"0";"0.00";"24 Sep 2019 12:35:37";"N";"";"N";"B";"N";"R";"";"";"42N-833-1390 ЗУБЕЦ КОВША ПОГРУЗЧИКА, ";"42N-833-1390 ЗУБЕЦ КОВША ПОГРУЗЧИКА, ";"";"";"";"";"VAT";"(Основные характеристики) Бренд: S[Komatsu]; (Основные характеристики) Страна производитель: S[Япония]; (Основные характеристики) Производитель: S[Komatsu Ltd]";"";"";"42n-833-1390-gsaezh-ynbyu-oncpsgvhyyu";"";"A";"";"КОМЕК МАШИНЕРИ"
"42N-833-1440";"ru";"6173";"Все///Komatsu";"0.00";"812.35";"0.000";"23";"0";"0.00";"24 Sep 2019 12:35:37";"N";"";"N";"B";"N";"R";"";"exim/backup/images/БОЛТ_236d-rk.png#{[da]:;[de]:;[el]:;[en]:;[es]:;[fr]:;[it]:;[nl]:;[no]:;[ro]:;[ru]:;}";"БОЛТ";"42N-833-1440 БОЛТ, ";"";"";"";"";"VAT";"(Основные характеристики) Бренд: S[Komatsu]; (Основные характеристики) Страна производитель: S[Япония]; (Основные характеристики) Производитель: S[Komatsu Ltd]";"";"";"42n-833-1440-ankr";"";"A";"21";"КОМЕК МАШИНЕРИ"
"42N-856-1170";"ru";"6174";"Все///Komatsu";"0.00";"1761.36";"0.000";"22";"0";"0.00";"24 Sep 2019 12:35:37";"N";"";"N";"B";"N";"R";"";"";"42N-856-1170 ВТУЛКА, ";"42N-856-1170 ВТУЛКА, ";"";"";"";"";"VAT";"(Основные характеристики) Бренд: S[Komatsu]; (Основные характеристики) Страна производитель: S[Япония]; (Основные характеристики) Производитель: S[Komatsu Ltd]";"";"";"42n-856-1170-brskyyu";"";"A";"";"КОМЕК МАШИНЕРИ"
