Product code,Language,Vendor,Max quantity,Quantity step,List qty count,Out of stock actions,Promo text,Product URL,Image URL,Detailed image URL,Items in box,Box size,Usergroup IDs,Available since,Options type,Exceptions type,Variation group code,Variation group id,Variation parent product id,Variation sub group id,Variation set as default,Discussion,Product id,Category,List price,Price,Weight,Quantity,Min quantity,Shipping freight,Date added,Downloadable,Files,Ship downloadable,Inventory tracking,Free shipping,Zero price action,Thumbnail,Detailed image,Product name,Description,Meta keywords,Meta description,Search words,Page title,Taxes,Features,Options,Secondary categories,SEO name,Short description,Status,Popularity
"SD1510-02911X0","ru","КОМЕК МАШИНЕРИ","0","0","0","N","","https://service.parts/vse/komatsu/sd1510-02911x0-bshoplhreke-cemepyurnpyu-onksopnbndmhynbshi-24b/","","","min:0;max:0","length:0;width:0;height:0","0","","P","F","","","","","","D","7625","Все///Komatsu","0.00","19573.00","0.000","1","0","0.00","24 Sep 2019 12:35:37","N","","N","B","N","R","","","SD1510-02911X0 ВЫПРЯМИТЕЛЬ ГЕНЕРАТОРА ПОЛУПРОВОДНИКОВЫЙ 24В, ","SD1510-02911X0 ВЫПРЯМИТЕЛЬ ГЕНЕРАТОРА ПОЛУПРОВОДНИКОВЫЙ 24В, ","","","","","VAT","(Основные характеристики) Бренд: S[Komatsu]; (Основные характеристики) Страна производитель: S[Япония]; (Основные характеристики) Производитель: S[Komatsu Ltd]","","","sd1510-02911x0-bshoplhreke-cemepyurnpyu-onksopnbndmhynbshi-24b","","A",""
"SFA125J2","ru","КОМЕК МАШИНЕРИ","0","0","0","N","","https://service.parts/vse/komatsu/sfa125j2-ankr-ya-j-napyugmni-cnknbyni/","https://service.parts/images/thumbnails/280/147/detailed/2/%D0%91%D0%9E%D0%9B%D0%A2_qh1g-qx.png","https://service.parts/images/detailed/2/БОЛТ_qh1g-qx.png","min:0;max:0","length:0;width:0;height:0","0","","P","F","","","","","","D","7626","Все///Komatsu","0.00","30472.32","4.000","6","0","0.00","24 Sep 2019 12:35:37","N","","N","B","N","R","","exim/backup/images/БОЛТ_qh1g-qx.png#{[da]:;[de]:;[el]:;[en]:;[es]:;[fr]:;[it]:;[nl]:;[no]:;[ro]:;[ru]:;}","БОЛТ","SFA125J2 БОЛТ С J-ОБРАЗНОЙ ГОЛОВКОЙ, ","","","","","VAT","(Основные характеристики) Бренд: S[Komatsu]; (Основные характеристики) Страна производитель: S[Япония]; (Основные характеристики) Производитель: S[Komatsu Ltd]","","","sfa125j2-ankr-ya-j-napyugmni-cnknbyni","","A","6"
"SFA1J4","ru","КОМЕК МАШИНЕРИ","0","0","0","N","","https://service.parts/vse/komatsu/sfa1j4-j-ankr/","https://service.parts/images/thumbnails/280/147/detailed/2/%D0%91%D0%9E%D0%9B%D0%A2_epk3-qj.png","https://service.parts/images/detailed/2/БОЛТ_epk3-qj.png","min:0;max:0","length:0;width:0;height:0","0","","P","F","","","","","","D","7627","Все///Komatsu","0.00","14077.76","1.000","1","0","0.00","24 Sep 2019 12:35:37","N","","N","B","N","R","","exim/backup/images/БОЛТ_epk3-qj.png#{[da]:;[de]:;[el]:;[en]:;[es]:;[fr]:;[it]:;[nl]:;[no]:;[ro]:;[ru]:;}","БОЛТ","SFA1J4  J-БОЛТ, ","","","","","VAT","(Основные характеристики) Бренд: S[Komatsu]; (Основные характеристики) Страна производитель: S[Япония]; (Основные характеристики) Производитель: S[Komatsu Ltd]","","","sfa1j4-j-ankr","","A","3"
"SV9812","ru","КОМЕК МАШИНЕРИ","0","0","0","N","","https://service.parts/vse/komatsu/sv9812-n-ynkezhn/","","","min:0;max:0","length:0;width:0;height:0","0","","P","F","","","","","","D","7628","Все///Komatsu","0.00","73.52","0.000","48","0","0.00","24 Sep 2019 12:35:37","N","","N","B","N","R","","","SV9812 О-КОЛЬЦО, ","SV9812 О-КОЛЬЦО, ","","","","","VAT","(Основные характеристики) Бренд: S[Komatsu]; (Основные характеристики) Страна производитель: S[Япония]; (Основные характеристики) Производитель: S[Komatsu Ltd]","","","sv9812-n-ynkezhn","","A",""
"SYG2-400LI-A","ru","КОМЕК МАШИНЕРИ","0","0","0","N","","https://service.parts/vse/komatsu/syg2-400li-a-ynmyahyaremrmyu-yalyugyyu-1-box20x400c-lcyyu-rsayu/","","","min:0;max:0","length:0;width:0;height:0","0","","P","F","","","","","","D","7629","Все///Komatsu","0.00","4251.15","0.000","1065","0","0.00","24 Sep 2019 12:35:37","N","","N","B","N","R","","","SYG2-400LI-A КОНСИСТЕНТНАЯ СМАЗКА (1 BOX=20x400г мягкая туба), ","SYG2-400LI-A КОНСИСТЕНТНАЯ СМАЗКА (1 BOX=20x400г мягкая туба), ","","","","","VAT","(Основные характеристики) Бренд: S[Komatsu]; (Основные характеристики) Страна производитель: S[Япония]; (Основные характеристики) Производитель: S[Komatsu Ltd]","","","syg2-400li-a-ynmyahyaremrmyu-yalyugyyu-1-box20x400c-lcyyu-rsayu","","A",""
"VE5263","ru","КОМЕК МАШИНЕРИ","0","0","0","N","","https://service.parts/vse/komatsu/ve5263-peleme-bemrhkrnpyu/","","","min:0;max:0","length:0;width:0;height:0","0","","P","F","","","","","","D","7630","Все///Komatsu","0.00","67711.52","1.000","1","0","0.00","24 Sep 2019 12:35:37","N","","N","B","N","R","","","VE5263 РЕМЕНЬ ВЕНТИЛЯТОРА, ","VE5263 РЕМЕНЬ ВЕНТИЛЯТОРА, ","","","","","VAT","(Основные характеристики) Бренд: S[Komatsu]; (Основные характеристики) Страна производитель: S[Япония]; (Основные характеристики) Производитель: S[Komatsu Ltd]","","","ve5263-peleme-bemrhkrnpyu","","A",""
"VS550","ru","КОМЕК МАШИНЕРИ","0","0","0","N","","https://service.parts/vse/komatsu/vs550-beprhyyukmyu-gyuyhryu/","","","min:0;max:0","length:0;width:0;height:0","0","","P","F","","","","","","D","7631","Все///Komatsu","0.00","59725.09","36.000","6","0","0.00","24 Sep 2019 12:35:37","N","","N","B","N","R","","","VS550 ВЕРТИКАЛНАЯ ЗАЩИТА, ","VS550 ВЕРТИКАЛНАЯ ЗАЩИТА, ","","","","","VAT","(Основные характеристики) Бренд: S[Komatsu]; (Основные характеристики) Страна производитель: S[Япония]; (Основные характеристики) Производитель: S[Komatsu Ltd]","","","vs550-beprhyyukmyu-gyuyhryu","","A",""
"WS141LL","ru","КОМЕК МАШИНЕРИ","0","0","0","N","","https://service.parts/vse/komatsu/ws141ll-gyuyhryu-ypnlyh-ynbyu/","","","min:0;max:0","length:0;width:0;height:0","0","","P","F","","","","","","D","7632","Все///Komatsu","0.00","121757.34","86.000","7","0","0.00","24 Sep 2019 12:35:37","N","","N","B","N","R","","","WS141LL ЗАЩИТА КРОМКИ КОВША, ","WS141LL ЗАЩИТА КРОМКИ КОВША, ","","","","","VAT","(Основные характеристики) Бренд: S[Komatsu]; (Основные характеристики) Страна производитель: S[Япония]; (Основные характеристики) Производитель: S[Komatsu Ltd]","","","ws141ll-gyuyhryu-ypnlyh-ynbyu","","A",""
"WS2002000J","ru","КОМЕК МАШИНЕРИ","0","0","0","N","","https://service.parts/vse/komatsu/ws2002000j-gyuyhryu/","","","min:0;max:0","length:0;width:0;height:0","0","","P","F","","","","","","D","7633","Все///Komatsu","0.00","50554.44","29.000","7","0","0.00","24 Sep 2019 12:35:37","N","","N","B","N","R","","","WS2002000J ЗАЩИТА, ","WS2002000J ЗАЩИТА, ","","","","","VAT","(Основные характеристики) Бренд: S[Komatsu]; (Основные характеристики) Страна производитель: S[Япония]; (Основные характеристики) Производитель: S[Komatsu Ltd]","","","ws2002000j-gyuyhryu","","A",""
"WS300-2200J","ru","КОМЕК МАШИНЕРИ","0","0","0","N","","https://service.parts/vse/komatsu/ws300-2200j-gyuyhryu-beprhyyukemyu-myu-j-ankryuu/","https://service.parts/images/thumbnails/280/147/detailed/2/%D0%91%D0%9E%D0%9B%D0%A2_bpco-nh.png","https://service.parts/images/detailed/2/БОЛТ_bpco-nh.png","min:0;max:0","length:0;width:0;height:0","0","","P","F","","","","","","D","7634","Все///Komatsu","0.00","121057.25","0.000","2","0","0.00","24 Sep 2019 12:35:37","N","","N","B","N","R","","exim/backup/images/БОЛТ_bpco-nh.png#{[da]:;[de]:;[el]:;[en]:;[es]:;[fr]:;[it]:;[nl]:;[no]:;[ro]:;[ru]:;}","БОЛТ","WS300-2200J ЗАЩИТА ВЕРТИКАЛЬНАЯ НА J-БОЛТАХ, ","","","","","VAT","(Основные характеристики) Бренд: S[Komatsu]; (Основные характеристики) Страна производитель: S[Япония]; (Основные характеристики) Производитель: S[Komatsu Ltd]","","","ws300-2200j-gyuyhryu-beprhyyukemyu-myu-j-ankryuu","","A","39"
