Product code,Language,Vendor,Max quantity,Quantity step,List qty count,Out of stock actions,Promo text,Product URL,Image URL,Detailed image URL,Items in box,Box size,Usergroup IDs,Available since,Options type,Exceptions type,Variation group code,Variation group id,Variation parent product id,Variation sub group id,Variation set as default,Discussion,Product id,Category,List price,Price,Weight,Quantity,Min quantity,Shipping freight,Date added,Downloadable,Files,Ship downloadable,Inventory tracking,Free shipping,Zero price action,Thumbnail,Detailed image,Product name,Description,Meta keywords,Meta description,Search words,Page title,Taxes,Features,Options,Secondary categories,SEO name,Short description,Status,Popularity
"234-A06-1150","ru","КОМЕК МАШИНЕРИ","0","0","0","N","","https://service.parts/komatsu/234-a06-1150-schkeyrpnopnbndyyu/","","","min:0;max:0","length:0;width:0;height:0","0","","P","F","","","","","","D","5424","Komatsu","0.00","51.00","0.100","1","0","0.00","24 Sep 2019 12:35:37","N","","N","B","N","R","","","234-A06-1150 ЭЛЕКТРОПРОВОДКА,","234-A06-1150 ЭЛЕКТРОПРОВОДКА,","","","","","НДС 20%","(Основные характеристики) Бренд: S[KOMATSU]; (Основные характеристики) Страна производитель: S[Komatsu Ltd.]; (Основные характеристики) Производитель: S[KOMATSU]; (Основные характеристики) Код производителя: T[234-A06-1150]","","","234-a06-1150-schkeyrpnopnbndyyu","","A","69"
"234-A06-1450","ru","КОМЕК МАШИНЕРИ","0","0","0","N","","https://service.parts/komatsu/234-a06-1450-schkeyrpnopnbnd/","","","min:0;max:0","length:0;width:0;height:0","0","","P","F","","","","","","D","5425","Komatsu","0.00","983.94","0.018","1","0","0.00","24 Sep 2019 12:35:37","N","","N","B","N","R","","","234-A06-1450 ЭЛЕКТРОПРОВОД,","234-A06-1450 ЭЛЕКТРОПРОВОД,","","","","","НДС 20%","(Основные характеристики) Бренд: S[KOMATSU]; (Основные характеристики) Страна производитель: S[Komatsu Ltd.]; (Основные характеристики) Производитель: S[KOMATSU]; (Основные характеристики) Код производителя: T[234-A06-1450]","","","234-a06-1450-schkeyrpnopnbnd","","A","45"
"234-A06-1540","ru","КОМЕК МАШИНЕРИ","0","0","0","N","","https://service.parts/komatsu/234-a06-1540-ynlokeyr-yyuaekei/","","","min:0;max:0","length:0;width:0;height:0","0","","P","F","","","","","","D","5426","Komatsu","0.00","42.00","3.000","1","0","0.00","24 Sep 2019 12:35:37","N","","N","B","N","R","","","234-A06-1540 КОМПЛЕКТ КАБЕЛЕЙ,","234-A06-1540 КОМПЛЕКТ КАБЕЛЕЙ,","","","","","НДС 20%","(Основные характеристики) Бренд: S[KOMATSU]; (Основные характеристики) Страна производитель: S[Komatsu Ltd.]; (Основные характеристики) Производитель: S[KOMATSU]; (Основные характеристики) Код производителя: T[234-A06-1540]","","","234-a06-1540-ynlokeyr-yyuaekei","","A","15"
"234-A06-2130","ru","КОМЕК МАШИНЕРИ","0","0","0","N","","https://service.parts/komatsu/234-a06-2130-schkeyrpnopnbndyyu/","","","min:0;max:0","length:0;width:0;height:0","0","","P","F","","","","","","D","5427","Komatsu","0.00","67.00","0.700","1","0","0.00","24 Sep 2019 12:35:37","N","","N","B","N","R","","","234-A06-2130 ЭЛЕКТРОПРОВОДКА,","234-A06-2130 ЭЛЕКТРОПРОВОДКА,","","","","","НДС 20%","(Основные характеристики) Бренд: S[KOMATSU]; (Основные характеристики) Страна производитель: S[Komatsu Ltd.]; (Основные характеристики) Производитель: S[KOMATSU]; (Основные характеристики) Код производителя: T[234-A06-2130]","","","234-a06-2130-schkeyrpnopnbndyyu","","A","48"
"234-A06-2140","ru","КОМЕК МАШИНЕРИ","0","0","0","N","","https://service.parts/komatsu/234-a06-2140-schkeyrpnopnbndyyu/","","","min:0;max:0","length:0;width:0;height:0","0","","P","F","","","","","","D","5428","Komatsu","0.00","65.00","1.500","1","0","0.00","24 Sep 2019 12:35:37","N","","N","B","N","R","","","234-A06-2140 ЭЛЕКТРОПРОВОДКА,","234-A06-2140 ЭЛЕКТРОПРОВОДКА,","","","","","НДС 20%","(Основные характеристики) Бренд: S[KOMATSU]; (Основные характеристики) Страна производитель: S[Komatsu Ltd.]; (Основные характеристики) Производитель: S[KOMATSU]; (Основные характеристики) Код производителя: T[234-A06-2140]","","","234-a06-2140-schkeyrpnopnbndyyu","","A","51"
"234-A06-2170","ru","КОМЕК МАШИНЕРИ","0","0","0","N","","https://service.parts/komatsu/234-a06-2170-schkeyrpnopnbndyyu/","","","min:0;max:0","length:0;width:0;height:0","0","","P","F","","","","","","D","5429","Komatsu","0.00","41.00","0.050","1","0","0.00","24 Sep 2019 12:35:37","N","","N","B","N","R","","","234-A06-2170 ЭЛЕКТРОПРОВОДКА,","234-A06-2170 ЭЛЕКТРОПРОВОДКА,","","","","","НДС 20%","(Основные характеристики) Бренд: S[KOMATSU]; (Основные характеристики) Страна производитель: S[Komatsu Ltd.]; (Основные характеристики) Производитель: S[KOMATSU]; (Основные характеристики) Код производителя: T[234-A06-2170]","","","234-a06-2170-schkeyrpnopnbndyyu","","A","51"
"234-A06-2180","ru","КОМЕК МАШИНЕРИ","0","0","0","N","","https://service.parts/komatsu/234-a06-2180-schkeyrpnopnbndyyu/","","","min:0;max:0","length:0;width:0;height:0","0","","P","F","","","","","","D","5430","Komatsu","0.00","244.00","1.900","1","0","0.00","24 Sep 2019 12:35:37","N","","N","B","N","R","","","234-A06-2180 ЭЛЕКТРОПРОВОДКА,","234-A06-2180 ЭЛЕКТРОПРОВОДКА,","","","","","НДС 20%","(Основные характеристики) Бренд: S[KOMATSU]; (Основные характеристики) Страна производитель: S[Komatsu Ltd.]; (Основные характеристики) Производитель: S[KOMATSU]; (Основные характеристики) Код производителя: T[234-A06-2180]","","","234-a06-2180-schkeyrpnopnbndyyu","","A","63"
"234-A06-2650","ru","КОМЕК МАШИНЕРИ","0","0","0","N","","https://service.parts/komatsu/234-a06-2650-oepeykchvyureke/","","","min:0;max:0","length:0;width:0;height:0","0","","P","F","","","","","","D","5431","Komatsu","0.00","18.00","0.120","1","0","0.00","24 Sep 2019 12:35:37","N","","N","B","N","R","","","234-A06-2650 ПЕРЕКЛЮЧАТЕЛЬ,","234-A06-2650 ПЕРЕКЛЮЧАТЕЛЬ,","","","","","НДС 20%","(Основные характеристики) Бренд: S[KOMATSU]; (Основные характеристики) Страна производитель: S[Komatsu Ltd.]; (Основные характеристики) Производитель: S[KOMATSU]; (Основные характеристики) Код производителя: T[234-A06-2650]","","","234-a06-2650-oepeykchvyureke","","A","12"
"234-A40-1160","ru","КОМЕК МАШИНЕРИ","0","0","0","N","","https://service.parts/komatsu/234-a40-1160-n-ynkezhn/","","","min:0;max:0","length:0;width:0;height:0","0","","P","F","","","","","","D","5432","Komatsu","0.00","4.00","0.008","4","0","0.00","24 Sep 2019 12:35:37","N","","N","B","N","R","","","234-A40-1160 О-КОЛЬЦО,","234-A40-1160 О-КОЛЬЦО,","","","","","НДС 20%","(Основные характеристики) Бренд: S[KOMATSU]; (Основные характеристики) Страна производитель: S[Komatsu Ltd.]; (Основные характеристики) Производитель: S[KOMATSU]; (Основные характеристики) Код производителя: T[234-A40-1160]","","","234-a40-1160-n-ynkezhn","","A","66"
"234-A44-3530","ru","КОМЕК МАШИНЕРИ","0","0","0","N","","https://service.parts/komatsu/234-a44-3530-ykyuoyum-b-yaanpe/","","","min:0;max:0","length:0;width:0;height:0","0","","P","F","","","","","","D","5433","Komatsu","0.00","50.00","1.000","2","0","0.00","24 Sep 2019 12:35:37","N","","N","B","N","R","","","234-A44-3530 КЛАПАН В СБОРЕ,","234-A44-3530 КЛАПАН В СБОРЕ,","","","","","НДС 20%","(Основные характеристики) Бренд: S[KOMATSU]; (Основные характеристики) Страна производитель: S[Komatsu Ltd.]; (Основные характеристики) Производитель: S[KOMATSU]; (Основные характеристики) Код производителя: T[234-A44-3530]","","","234-a44-3530-ykyuoyum-b-yaanpe","","A","12"
