Product code;Language;Product id;Category;List price;Price;Weight;Quantity;Min quantity;Shipping freight;Date added;Downloadable;Files;Ship downloadable;Inventory tracking;Free shipping;Zero price action;Thumbnail;Detailed image;Product name;Description;Meta keywords;Meta description;Search words;Page title;Taxes;Features;Options;Secondary categories;SEO name;Short description;Status;Popularity
"01010-81065";"ru";"7726";"Komatsu";"0.00";"209.49";"0.050";"6";"0";"0.00";"22 Oct 2019 10:56:38";"N";"";"N";"B";"N";"R";"";"";"";"01010-81065 БОЛТ. ";"";"";"";"";"";"Бренд: S[Komatsu]";"";"";"product-7726";"";"A";""
"01010-81095";"ru";"7727";"Komatsu";"0.00";"282.41";"0.070";"3";"0";"0.00";"22 Oct 2019 10:56:38";"N";"";"N";"B";"N";"R";"";"";"";"01010-81095 БОЛТ 10ММ. ";"";"";"";"";"";"Бренд: S[Komatsu]";"";"";"product-7727";"";"A";""
"01010-81225";"ru";"7728";"Komatsu";"0.00";"146.84";"0.040";"48";"0";"0.00";"22 Oct 2019 10:56:38";"N";"";"N";"B";"N";"R";"";"";"";"01010-81225 БОЛТ. ";"";"";"";"";"";"Бренд: S[Komatsu]";"";"";"product-7728";"";"A";""
"01010-81230";"ru";"7729";"Komatsu";"0.00";"146.84";"0.040";"92";"0";"0.00";"22 Oct 2019 10:56:38";"N";"";"N";"B";"N";"R";"";"";"";"01010-81230 БОЛТ. ";"";"";"";"";"";"Бренд: S[Komatsu]";"";"";"product-7729";"";"A";""
"01010-81235";"ru";"7730";"Komatsu";"0.00";"146.84";"0.040";"12";"0";"0.00";"22 Oct 2019 10:56:38";"N";"";"N";"B";"N";"R";"";"";"";"01010-81235 БОЛТ. ";"";"";"";"";"";"Бренд: S[Komatsu]";"";"";"product-7730";"";"A";""
"01010-81245";"ru";"7731";"Komatsu";"0.00";"237.22";"0.060";"23";"0";"0.00";"22 Oct 2019 10:56:38";"N";"";"N";"B";"N";"R";"";"";"";"01010-81245 БОЛТ С ШЕСТИГРАННОЙ ГОЛОВКОЙ. ";"";"";"";"";"";"Бренд: S[Komatsu]";"";"";"product-7731";"";"A";""
"01010-81250";"ru";"7732";"Komatsu";"0.00";"251.60";"0.060";"6";"0";"0.00";"22 Oct 2019 10:56:38";"N";"";"N";"B";"N";"R";"";"";"";"01010-81250 БОЛТ 12ММ. ";"";"";"";"";"";"Бренд: S[Komatsu]";"";"";"product-7732";"";"A";""
"01010-81255";"ru";"7733";"Komatsu";"0.00";"251.60";"0.060";"7";"0";"0.00";"22 Oct 2019 10:56:38";"N";"";"N";"B";"N";"R";"";"";"";"01010-81255 БОЛТ 12ММ. ";"";"";"";"";"";"Бренд: S[Komatsu]";"";"";"product-7733";"";"A";""
"01010-81280";"ru";"7734";"Komatsu";"0.00";"356.35";"0.090";"27";"0";"0.00";"22 Oct 2019 10:56:38";"N";"";"N";"B";"N";"R";"";"";"";"01010-81280 БОЛТ С ШЕСТИГРАННОЙ ГОЛОВКОЙ. ";"";"";"";"";"";"Бренд: S[Komatsu]";"";"";"product-7734";"";"A";""
"01010-81285";"ru";"7735";"Komatsu";"0.00";"356.35";"0.090";"10";"0";"0.00";"22 Oct 2019 10:56:38";"N";"";"N";"B";"N";"R";"";"";"";"01010-81285 БОЛТ. ";"";"";"";"";"";"Бренд: S[Komatsu]";"";"";"product-7735";"";"A";""
"01010-E1225";"ru";"7736";"Komatsu";"0.00";"195.12";"0.039";"20";"0";"0.00";"22 Oct 2019 10:56:38";"N";"";"N";"B";"N";"R";"";"";"";"01010-E1225 БОЛТ. ";"";"";"";"";"";"Бренд: S[Komatsu]";"";"";"product-7736";"";"A";""
"01010-E1230";"ru";"7737";"Komatsu";"0.00";"199.22";"0.040";"37";"0";"0.00";"22 Oct 2019 10:56:38";"N";"";"N";"B";"N";"R";"";"";"";"01010-E1230 БОЛТ. ";"";"";"";"";"";"Бренд: S[Komatsu]";"";"";"product-7737";"";"A";""
"01010-E1235";"ru";"7738";"Komatsu";"0.00";"246.46";"0.050";"18";"0";"0.00";"22 Oct 2019 10:56:38";"N";"";"N";"B";"N";"R";"";"";"";"01010-E1235 БОЛТ. ";"";"";"";"";"";"Бренд: S[Komatsu]";"";"";"product-7738";"";"A";""
"01010-E1240";"ru";"7739";"Komatsu";"0.00";"251.60";"0.050";"7";"0";"0.00";"22 Oct 2019 10:56:38";"N";"";"N";"B";"N";"R";"";"";"";"01010-E1240 БОЛТ. ";"";"";"";"";"";"Бренд: S[Komatsu]";"";"";"product-7739";"";"A";""
"01010-E1245";"ru";"7740";"Komatsu";"0.00";"203.32";"0.060";"18";"0";"0.00";"22 Oct 2019 10:56:38";"N";"";"N";"B";"N";"R";"";"";"";"01010-E1245 БОЛТ. ";"";"";"";"";"";"Бренд: S[Komatsu]";"";"";"product-7740";"";"A";""
